Message,MessageDate
Hey guys. What if I cant do chest to bat,2025-07-23 03:16:40
Hey coach,2025-08-13 22:47:47
Yo jason,2025-08-13 22:47:57
Happy to be back on JB,2025-08-24 08:04:22
"Hi team

Im wondering. Is there any reason not to put a 20 minute zone 2 (48-51rpm) on thr fanbike after my lifting days. Its the only time I really am able to zone 2",2025-08-27 22:04:00
When doing the  5x3-5. What % is going to beta ball park figure?,2025-08-30 21:45:49
Thanks mate 👍 👌,2025-08-30 22:04:56
Love that I've put coach jb in the driver's seat. I want to make progress,2025-08-31 00:33:07
"You wouldn't use this. Ultimately it's to much volume. The 3x full-body is better 

As a rule I feel you should be able to run min 10k",2025-09-01 19:49:12
"Hey guys, with the hybrid deadlift. Whats the difference?",2025-09-05 01:31:25
With the back squats. Are we pushing to grinder reps? Or more 2-3 reps in the tank,2025-09-08 19:30:19
"Hi guys. 

Would doing 2x a week running working upto a 5k  be oksy with this",2025-09-14 22:35:10
When will this be best for runninh,2025-09-15 19:50:35
"Sorry I'm pretty useless with explaining stuff. 

Would using this or the full body be better to grow into a hybrid athlete? 

Or has jbc got a hybrid split 🤔",2025-09-16 02:50:05
"Highly considering switching to 2 days a week. 

I dont know if its more maintenance or more gains",2025-09-18 21:52:50
Hi Jason. I just saw on your instagram. Thank you sir,2025-09-19 17:38:41
High or low handles on the trap bar?,2025-09-21 22:29:33
With the rotational rdl. Whats the rotational portion do?,2025-09-22 01:06:13
"Its building in weight across all sets. An then adding weight if your able to 

- hit 8 reps at X weight, add weight 
- 6  reps at x weight add reps until your able to complete 8 with that weight",2025-09-24 23:21:57
"Hey everybody. 
.adding 2 of the conditioning days. 

Whats the best way of doing it?",2025-10-14 20:53:23
Thanks mate,2025-10-15 00:10:50
Hey guys what is a 5 stance?,2025-10-19 03:23:29
Thanks Mark. On my.lsptop it just came up as 5 stance rdl.,2025-10-19 03:37:11
"Id probably lean of coach Brown for this. But as a general rule of thumb. Id probably do what you are considering. 

As weight training is a support/maintenance for you as your coming upto a heavy endurance/GPP 

Most of the top hyrox pros (ackson here in aus) he runs a 2x conjugate split. Along side all of his hyrox specific training when coming into his season",2025-10-21 17:39:16
